X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR,normal_GSR,Walk
-2556.11814759515,6685221.98735903,0,2/6/2018,10:16:49,51.547432000000001,-0.022962000000000,1.040000000000000,0.000000000000000,564,0.0000000000,0
-2561.01620519005,6685221.2731858,1,2/6/2018,10:16:50,51.547427999999996,-0.023006000000000,1.440000000000000,0.000000000000000,568,0.0740740741,0
-2561.01620519005,6685221.2731858,2,2/6/2018,10:16:50,51.547427999999996,-0.023006000000000,1.440000000000000,-0.400000000000000,565,0.0185185185,0
-2568.91988903637,6685217.16669096,3,2/6/2018,10:16:51,51.547404999999998,-0.023077000000000,1.220000000000000,-0.400000000000000,566,0.0370370370,0
-2568.91988903637,6685217.16669096,4,2/6/2018,10:16:51,51.547404999999998,-0.023077000000000,1.220000000000000,5.000000000000000,567,0.0555555556,0
-2571.814195797,6685215.91688859,5,2/6/2018,10:16:52,51.547398000000001,-0.023103000000000,0.940000000000000,5.000000000000000,567,0.0555555556,0
-2577.26885084587,6685213.7743707,6,2/6/2018,10:16:53,51.547386000000003,-0.023152000000000,1.350000000000000,5.000000000000000,572,0.1481481481,0
-2577.26885084587,6685213.7743707,7,2/6/2018,10:16:53,51.547386000000003,-0.023152000000000,1.350000000000000,11.400000000000000,569,0.0925925926,0
-2578.71600422618,6685214.48854327,8,2/6/2018,10:16:54,51.547390000000000,-0.023165000000000,0.480000000000000,11.400000000000000,568,0.0740740741,0
-2580.0518381157,6685213.7743707,9,2/6/2018,10:16:55,51.547386000000003,-0.023177000000000,0.200000000000000,11.400000000000000,570,0.1111111111,0
-2580.0518381157,6685213.7743707,10,2/6/2018,10:16:55,51.547386000000003,-0.023177000000000,0.200000000000000,12.199999999999999,567,0.0555555556,0
-2581.83294996839,6685212.52456886,11,2/6/2018,10:16:56,51.547378999999999,-0.023193000000000,3.480000000000000,12.199999999999999,568,0.0740740741,0
-2581.83294996839,6685212.52456886,12,2/6/2018,10:16:56,51.547378999999999,-0.023193000000000,3.480000000000000,12.800000000000001,567,0.0555555556,0
-2581.61031098681,6685211.09622414,13,2/6/2018,10:16:57,51.547370999999998,-0.023191000000000,0.690000000000000,12.800000000000001,566,0.0370370370,0
-2580.94239404205,6685211.09622414,14,2/6/2018,10:16:58,51.547370999999998,-0.023185000000000,2.330000000000000,12.800000000000001,571,0.1296296296,0
-2580.94239404205,6685211.09622414,15,2/6/2018,10:16:58,51.547370999999998,-0.023185000000000,2.330000000000000,12.900000000000000,569,0.0925925926,0
-2577.93676779063,6685212.52456886,16,2/6/2018,10:16:59,51.547378999999999,-0.023158000000000,1.110000000000000,12.900000000000000,567,0.0555555556,0
-2579.27260168015,6685210.38205187,17,2/6/2018,10:17:0,51.547367000000001,-0.023170000000000,2.430000000000000,12.900000000000000,571,0.1296296296,0
-2579.27260168015,6685210.38205187,18,2/6/2018,10:17:0,51.547367000000001,-0.023170000000000,2.430000000000000,13.600000000000000,569,0.0925925926,0
-2578.3820457538,6685208.95370753,19,2/6/2018,10:17:1,51.547359000000000,-0.023162000000000,1.330000000000000,13.600000000000000,567,0.0555555556,0
-2582.72350589474,6685206.98973446,20,2/6/2018,10:17:2,51.547348000000000,-0.023201000000000,0.480000000000000,13.600000000000000,571,0.1296296296,0
-2582.72350589474,6685206.98973446,21,2/6/2018,10:17:2,51.547348000000000,-0.023201000000000,0.480000000000000,15.600000000000000,569,0.0925925926,0
-2583.16878385791,6685204.31159015,22,2/6/2018,10:17:3,51.547333000000002,-0.023205000000000,2.690000000000000,15.600000000000000,569,0.0925925926,0
-2583.16878385791,6685204.31159015,23,2/6/2018,10:17:3,51.547333000000002,-0.023205000000000,2.690000000000000,16.500000000000000,568,0.0740740741,0
-2585.72913214616,6685202.88324688,24,2/6/2018,10:17:4,51.547325000000001,-0.023228000000000,3.260000000000000,16.500000000000000,569,0.0925925926,0
-2585.72913214616,6685202.88324688,25,2/6/2018,10:17:4,51.547325000000001,-0.023228000000000,3.260000000000000,18.000000000000000,567,0.0555555556,0
-2590.0705922871,6685200.91927529,26,2/6/2018,10:17:5,51.547314000000000,-0.023267000000000,5.190000000000000,18.000000000000000,566,0.0370370370,0
-2583.94802029347,6685202.16907533,27,2/6/2018,10:17:6,51.547320999999997,-0.023212000000000,4.390000000000000,18.000000000000000,567,0.0555555556,0
-2584.61593723823,6685202.16907533,28,2/6/2018,10:17:7,51.547320999999997,-0.023218000000000,3.870000000000000,18.000000000000000,568,0.0740740741,0
-2572.92739070493,6685207.70390643,29,2/6/2018,10:17:8,51.547351999999997,-0.023113000000000,3.720000000000000,18.000000000000000,568,0.0740740741,0
-2572.92739070493,6685207.70390643,30,2/6/2018,10:17:8,51.547351999999997,-0.023113000000000,3.720000000000000,10.400000000000000,567,0.0555555556,0
-2576.37829491952,6685205.02576188,31,2/6/2018,10:17:9,51.547336999999999,-0.023144000000000,3.700000000000000,10.400000000000000,567,0.0555555556,0
-2576.48961441032,6685203.59741848,32,2/6/2018,10:17:10,51.547328999999998,-0.023145000000000,6.070000000000000,10.400000000000000,569,0.0925925926,0
-2575.37641950238,6685202.88324688,33,2/6/2018,10:17:11,51.547325000000001,-0.023135000000000,3.500000000000000,10.400000000000000,571,0.1296296296,0
-2575.37641950238,6685202.88324688,34,2/6/2018,10:17:11,51.547325000000001,-0.023135000000000,3.500000000000000,12.300000000000001,568,0.0740740741,0
-2570.58968139827,6685205.56139072,35,2/6/2018,10:17:12,51.547339999999998,-0.023092000000000,2.240000000000000,12.300000000000001,569,0.0925925926,0
